uuid|id|name|
513386ae-b62c-11e6-7a31-d0fd004a3a26|ЦБ-000025|Казань, Проспект Победы, 33|
96a1b993-c08a-11e7-7a69-971100038e88|ЦБ-000040|Казань, Декабристов, 8|
547b8208-c5c0-11e9-90f7-7085c281e0ea|ЦБ-000060|Москва, Долгоруковская, 40.|
052c460c-d55f-11e9-90fb-7085c281e0ea|ЦБ-000061|Основной магазин|
5b391dde-14e0-11ea-9103-7085c281e0ea|ЦБ-000062|Интернет магазин "Look Online"|
fd6abd13-14e3-11ea-9103-7085c281e0ea|ЦБ-000063|Интернет магазин Ташпулатова|
307551a4-5e03-11ea-9105-7085c281e0ea|ЦБ-000064|Транзит Ташпулатова|
0419ada3-e2c5-11ea-910d-7085c281e0ea|ЦБ-000065|Маркетплейсы|
82be1061-22a4-11eb-910f-7085c281e0ea|ЦБ-000066|Москва, Большая Дорогомиловская, д.8|
68f5dbe7-5519-11eb-9111-7085c281e0ea|ЦБ-000068|Спб, Фурштатская, 42|
be4ab746-6177-11eb-9111-7085c281e0ea|ЦБ-000069|Спб, распред|
a3e6a0d7-9ea1-11eb-9112-7085c281e0ea|ЦБ-000070|Офис|
2210c829-4c48-11ec-911a-7085c281e0ea|ЦБ-000071|Москва, Товарищеский, 1|
be656f0c-0630-11ed-913a-7085c281e0ea|ЦБ-000072|пустой магазин|
dd59626c-16e6-11ed-913a-7085c281e0ea|ЦБ-000073|Магазин Маркетинга|
26fa593e-4ef4-11ed-913f-7085c281e0ea|ЦБ-000074|Москва, Новокузнецкая, 39|
d308e006-55d4-11ed-913f-7085c281e0ea|ЦБ-000075|Магазин Службы клиентского сервиса|
e0d75c71-d52e-11ed-9147-7085c281e0ea|ЦБ-000076|Кофейня|
1fd9acf0-2d43-11ee-914a-7085c281e0ea|ЦБ-000077|Москва, Петровский, 21|
1de7e566-ea94-11ee-9154-7085c281e0ea|ЦБ-000078|Москва, Калужская, 1|
8724f6d3-f817-11ee-9155-7085c281e0ea|ЦБ-000079|Спб, Садовая, 42|
e78f6681-3a9c-11ef-915d-7085c281e0ea|ЦБ-000080|Москва, 1-я Тверская-Ямская, 36|
41a02c6d-b7a0-11ef-9175-7085c281e0ea|ЦБ-000081|Отдел продаж|
41a02c92-b7a0-11ef-9175-7085c281e0ea|ЦБ-000082|Администрация|
9adb9eed-c8e2-11ef-9175-7085c281e0ea|ЦБ-000083|Команда контента и стилизации|
fe382012-e385-11ef-9175-7085c281e0ea|ЦБ-000084|Отдел по разработке продукта и продвижению|
fe382133-e385-11ef-9175-7085c281e0ea|ЦБ-000085|Склад пр-кт Маршала Жукова|
fe38216b-e385-11ef-9175-7085c281e0ea|ЦБ-000086|Отдел по работе с персоналом|
042f6791-e386-11ef-9175-7085c281e0ea|ЦБ-000087|Администрация пр-кт Маршала Жукова|
042f6822-e386-11ef-9175-7085c281e0ea|ЦБ-000088|Коммерческий отдел|
042f6847-e386-11ef-9175-7085c281e0ea|ЦБ-000089|Отдел товародвижения|
980b58e9-0fb8-11f0-9175-7085c281e0ea|ЦБ-000090|Склад интернет магазина|
980b598d-0fb8-11f0-9175-7085c281e0ea|ЦБ-000091|Отдел перспективных разработок|
1580f25f-298a-11f0-9176-7085c281e0ea|ЦБ-000092|Команда продукта|
